Tweet,Emojis,SentimentML,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias,Frequency,Count
@Aguiarthur minha carinha concentrada esperando o follow do adm,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['aguiarthur', 'minha', 'carinha', 'concentrada', 'esperando', 'o', 'follow', 'do', 'adm']","['arthur: 17', 'aguiar: 16', 'rt: 14', 'o: 10', 'e: 9', 'mais: 8', 'douglas: 7', 'simplesmente: 7', 'de: 7', 'no: 7', 'tirou: 6', 'todos: 6', 'os: 6', 'homens: 6', 'deixou: 6', 'com: 6', 'mulheres: 6', 'uma: 6', 'prova: 6', 'resistência: 6', 'pro: 6', 'da: 6', 'todo: 6', 'aguiarthur: 5', 'mas: 5', 'é: 5', 'mundo: 5', 'fatouoficial: 4', 'nft: 4', 'mayra: 4', 'cardi: 4', 'dela: 4', 'papel: 4', 'tem: 4', 'acesso: 4', 'que: 4', 'não: 3', 'https: 3', 'a: 3', 'adm: 2', 'eu: 2', 'tô: 2', 'pra: 2', 'minha: 1', 'carinha: 1', 'concentrada: 1', 'esperando: 1', 'follow: 1', 'do: 1', 'era: 1', 'pare: 1', 'agora: 1', 'fã: 1', 'rbr: 1', 'tbm: 1', 'hater: 1', 'gostando: 1', 'demais: 1', 'dele: 1', 'ananiasmartins: 1', 'pódio: 1', 'montado: 1', 'pelo: 1', 'público: 1', 'sempre: 1', 'foi: 1', 'campeão: 1', 'aline: 1', 'quebrado: 1', 'vice: 1', 'essa: 1', 'bicha: 1', 'desafetuoso: 1', 'moveu: 1', 'um: 1', 'musculo: 1', 'para: 1', 'abraçar: 1', 'laís: 1', 'homem: 1', 'fiel: 1', 'face: 1', 'terra: 1', 'viciado: 1', 'gente: 1', 'tá: 1', 'em: 1', 'constante: 1', 'evolução: 1', 'temos: 1', 'muito: 1', 'evoluir: 1', 'tempo: 1', 'naiara: 1', 'são: 1', 'cara: 1', 'fazenda: 1', 'estão: 1', 'programa: 1', 'errado: 1', 'leodopastel: 1', 'casado: 1', 'queriam: 1', 'ele: 1', 'colocasse: 1', 'mulher: 1', 'vip: 1', 'me: 1', 'segue: 1', 'por: 1', 'favor: 1', 'grato: 1', 'imune: 1', 'feliz: 1', 'caso: 1', 'se: 1', 'repetindo: 1', 'tome: 1', 'gaia: 1', 'ficar: 1', 'esperto: 1', 'juro: 1']",21.0
"RT @cariocaaa33: Douglas simplesmente tirou todos os homens e deixou Arthur Aguiar com 10 mulheres, mais uma prova de resistência pro nosso…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'douglas', 'simplesmente', 'tirou', 'todos', 'os', 'homens', 'e', 'deixou', 'arthur', 'aguiar', 'com', 'mulheres', 'mais', 'uma', 'prova', 'de', 'resistência', 'pro']",,
"arthur aguiar, pare agora! eu não era fã de rbr mas tbm não era hater #BBB22
 https://t.co/54ZF87cQ32",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['não', 'era', 'arthur', 'aguiar', 'pare', 'agora', 'eu', 'fã', 'de', 'rbr', 'mas', 'tbm', 'hater', 'https']",,
@Aguiarthur Tô gostando demais dele,set(),'neutro',[0.33],[0.01],[0.48],[0.0],[0.17],[0.01],[0.0],"['aguiarthur', 'tô', 'gostando', 'demais', 'dele']",,
"RT @fatouoficial: O Arthur Aguiar é o NFT da Mayra Cardi. É dela no papel, mas todo mundo tem acesso",set(),'raiva',[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['o', 'é', 'rt', 'fatouoficial', 'arthur', 'aguiar', 'nft', 'da', 'mayra', 'cardi', 'dela', 'no', 'papel', 'mas', 'todo', 'mundo', 'tem', 'acesso']",,
"RT @fatouoficial: O Arthur Aguiar é o NFT da Mayra Cardi. É dela no papel, mas todo mundo tem acesso",set(),'raiva',[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['o', 'é', 'rt', 'fatouoficial', 'arthur', 'aguiar', 'nft', 'da', 'mayra', 'cardi', 'dela', 'no', 'papel', 'mas', 'todo', 'mundo', 'tem', 'acesso']",,
@ananiasmartins No pódio montado pelo público o Arthur Aguiar sempre foi campeão. Aline Quebrado vice. Essa bicha d… https://t.co/UT4nxgKSoy,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['ananiasmartins', 'no', 'pódio', 'montado', 'pelo', 'público', 'o', 'arthur', 'aguiar', 'sempre', 'foi', 'campeão', 'aline', 'quebrado', 'vice', 'essa', 'bicha', 'https']",,
"RT @fatouoficial: O Arthur Aguiar é o NFT da Mayra Cardi. É dela no papel, mas todo mundo tem acesso",set(),'raiva',[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['o', 'é', 'rt', 'fatouoficial', 'arthur', 'aguiar', 'nft', 'da', 'mayra', 'cardi', 'dela', 'no', 'papel', 'mas', 'todo', 'mundo', 'tem', 'acesso']",,
"RT @cariocaaa33: Douglas simplesmente tirou todos os homens e deixou Arthur Aguiar com 10 mulheres, mais uma prova de resistência pro nosso…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'douglas', 'simplesmente', 'tirou', 'todos', 'os', 'homens', 'e', 'deixou', 'arthur', 'aguiar', 'com', 'mulheres', 'mais', 'uma', 'prova', 'de', 'resistência', 'pro']",,
"RT @desafetuoso: E o Arthur Aguiar que não moveu um musculo para abraçar a Laís

SIMPLESMENTE O HOMEM MAIS FIEL DA FACE DA TERRA, VICIADO E…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['o', 'da', 'rt', 'desafetuoso', 'e', 'arthur', 'aguiar', 'que', 'não', 'moveu', 'um', 'musculo', 'para', 'abraçar', 'a', 'laís', 'simplesmente', 'homem', 'mais', 'fiel', 'face', 'terra', 'viciado']",,
