Tweet,Emojis,SentimentML,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias,Frequency,Count
"RT @cariocaaa33: Douglas simplesmente tirou todos os homens e deixou Arthur Aguiar com 10 mulheres, mais uma prova de resistência pro nosso…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'douglas', 'simplesmente', 'tirou', 'todos', 'os', 'homens', 'e', 'deixou', 'arthur', 'aguiar', 'com', 'mulheres', 'mais', 'uma', 'prova', 'de', 'resistência', 'pro']","[': 89', 'rt: 13', 'arthur: 12', 'agui: 12', 'tod: 9', 'aguiarthur: 9', 'mulh: 6', 'mayr: 5', 'card: 5', 'tir: 4', 'hom: 4', 'fatouofic: 4', 'nft: 4', 'papel: 4', 'mund: 4', 'acess: 4', 'dougl: 3', 'simples: 3', 'deix: 3', 'prov: 3', 'resist: 3', 'pro: 3', 'adm: 3', 'faz: 2', 'olh: 2', 'bonit: 1', 'deu: 1', 'car: 1', 'concentr: 1', 'escut: 1', 'explic: 1', 'moel: 1', 'lind: 1', 'ifzrsi: 1', 'surr: 1', 'bem: 1', 'dad: 1', 'pod: 1', 'ver: 1', 'qu: 1', 'tra: 1', 'far: 1', 'sac: 1', 'mai: 1', 'ta: 1', 'academ: 1', 'q: 1', 'fof: 1', 'fiel: 1', 'seg: 1', 'favor: 1', 'únic: 1', 'cois: 1', 't: 1', 'pess: 1', 'tão: 1', 'pass: 1', 'aq: 1', 'xep: 1', 'gent: 1', 'séri: 1', 'tá: 1', 'tent: 1', 'destin: 1', 'traiço: 1', 'jjonasbrotherz: 1', 'vip: 1', 'vai: 1', 'justiç: 1', 'cham: 1']",21.0
"RT @Aguiarthur: Que homem bonito, meu Deus 🥵 https://t.co/CIbKx5i8AF",{'🥵'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'aguiarthur', 'que', 'homem', 'bonito', 'meu', 'deus', 'https']",,
RT @Aguiarthur: A carinha concentrado escutando a explicação de como se faz moela #BBB22 https://t.co/fkJPlCqJTp,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'rt', 'aguiarthur', 'carinha', 'concentrado', 'escutando', 'explicação', 'de', 'como', 'se', 'faz', 'moela', 'https']",,
@Aguiarthur lindinho https://t.co/7e8MgFwyAj,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['aguiarthur', 'lindinho', 'https']",,
RT @ifzrsie: a surra bem dada no arthur aguiar que não pode ver uma mulher que já quer trair,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['que', 'rt', 'ifzrsie', 'a', 'surra', 'bem', 'dada', 'no', 'arthur', 'aguiar', 'não', 'pode', 'ver', 'uma', 'mulher', 'já', 'quer', 'trair']",,
@maceta_monni Mayra cardi é Arthur Aguiar farinha do mesmo saco,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['mayra', 'cardi', 'é', 'arthur', 'aguiar', 'farinha', 'do', 'mesmo', 'saco']",,
"RT @fatouoficial: O Arthur Aguiar é o NFT da Mayra Cardi. É dela no papel, mas todo mundo tem acesso",set(),'raiva',[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['o', 'é', 'rt', 'fatouoficial', 'arthur', 'aguiar', 'nft', 'da', 'mayra', 'cardi', 'dela', 'no', 'papel', 'mas', 'todo', 'mundo', 'tem', 'acesso']",,
@Aguiarthur o maior https://t.co/nCrClUkG6S,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['aguiarthur', 'o', 'maior', 'https']",,
"RT @fatouoficial: O Arthur Aguiar é o NFT da Mayra Cardi. É dela no papel, mas todo mundo tem acesso",set(),'raiva',[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['o', 'é', 'rt', 'fatouoficial', 'arthur', 'aguiar', 'nft', 'da', 'mayra', 'cardi', 'dela', 'no', 'papel', 'mas', 'todo', 'mundo', 'tem', 'acesso']",,
RT @Aguiarthur: olha quem ta academia 💪🏻 #BBB22 https://t.co/hzpVWe6PaJ,{'💪'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'aguiarthur', 'olha', 'quem', 'ta', 'academia', 'https']",,
"RT @fatouoficial: O Arthur Aguiar é o NFT da Mayra Cardi. É dela no papel, mas todo mundo tem acesso",set(),'raiva',[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['o', 'é', 'rt', 'fatouoficial', 'arthur', 'aguiar', 'nft', 'da', 'mayra', 'cardi', 'dela', 'no', 'papel', 'mas', 'todo', 'mundo', 'tem', 'acesso']",,
"RT @cariocaaa33: Douglas simplesmente tirou todos os homens e deixou Arthur Aguiar com 10 mulheres, mais uma prova de resistência pro nosso…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'douglas', 'simplesmente', 'tirou', 'todos', 'os', 'homens', 'e', 'deixou', 'arthur', 'aguiar', 'com', 'mulheres', 'mais', 'uma', 'prova', 'de', 'resistência', 'pro']",,
@Aguiarthur Olha ele adm q fofo ✨❤️,"{'❤️', '✨'}",'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['aguiarthur', 'olha', 'ele', 'adm', 'q', 'fofo']",,
"Fiel.

Tirei Arthur Aguiar https://t.co/0zxzCqdDRm",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['fiel', 'tirei', 'arthur', 'aguiar', 'https']",,
"RT @cariocaaa33: Douglas simplesmente tirou todos os homens e deixou Arthur Aguiar com 10 mulheres, mais uma prova de resistência pro nosso…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'douglas', 'simplesmente', 'tirou', 'todos', 'os', 'homens', 'e', 'deixou', 'arthur', 'aguiar', 'com', 'mulheres', 'mais', 'uma', 'prova', 'de', 'resistência', 'pro']",,
@Aguiarthur me segue por favor adm única coisa que eu t pesso......,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['aguiarthur', 'me', 'segue', 'por', 'favor', 'adm', 'única', 'coisa', 'que', 'eu', 't', 'pesso']",,
@Aguiarthur eu sou tão apaixonado🥺,{'🥺'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['aguiarthur', 'eu', 'sou', 'tão']",,
"@Aguiarthur passa aq adm 🤍✨

https://t.co/9xgWKNfPEI","{'🤍', '✨'}",'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['aguiarthur', 'passa', 'aq', 'adm', 'https']",,
"RT @FlaDaNacao_: Arthur aguiar na xepa com todas as mulheres 

Gente, é sério, ele tá tentando 

Mas o destino é muito traiçoeiro com o nos…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['com', 'é', 'o', 'rt', 'arthur', 'aguiar', 'na', 'xepa', 'todas', 'as', 'mulheres', 'gente', 'sério', 'ele', 'tá', 'tentando', 'mas', 'destino', 'muito', 'traiçoeiro']",,
"RT @fatouoficial: O Arthur Aguiar é o NFT da Mayra Cardi. É dela no papel, mas todo mundo tem acesso",set(),'raiva',[0.35],[0.01],[0.26],[0.0],[0.36],[0.01],[0.0],"['o', 'é', 'rt', 'fatouoficial', 'arthur', 'aguiar', 'nft', 'da', 'mayra', 'cardi', 'dela', 'no', 'papel', 'mas', 'todo', 'mundo', 'tem', 'acesso']",,
RT @jjonasbrotherz: o vip do arthur aguiar vai fazer justiça e chamar todas as mulheres,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'jjonasbrotherz', 'o', 'vip', 'do', 'arthur', 'aguiar', 'vai', 'fazer', 'justiça', 'e', 'chamar', 'todas', 'as', 'mulheres']",,
