Tweet,SentimentML,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
"rt @alinewsaleh @mayracard intelig é, dev ter apoi ida @aguiarthur @bbb observál 24h dia ver c…",'neutro',[0.0],[0.0],[1.0],[0.0],[0.0],[0.0],[0.0]
@micaelofic @aguiarthur amo tantooo #teamarthuragui,'neutro',[0.17],[0.02],[0.71],[0.01],[0.07],[0.02],[0.0]
"@micaelofic @thurmeun @aguiarthur ai mika, obrig verdad signif ❤❤❤🤧",'neutro',[0.0],[0.0],[1.0],[0.0],[0.0],[0.0],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@micaelofic @aguiarthur ser amig,'neutro',[0.01],[0.01],[0.82],[0.0],[0.16],[0.0],[0.0]
"@mayracard intelig é, dev ter apoi ida @aguiarthur @bbb observál 24h dia e…",'neutro',[0.0],[0.01],[0.98],[0.0],[0.0],[0.0],[0.0]
cab inimig fidel @aguiarthur brind pur entreten,'neutro',[0.2],[0.03],[0.47],[0.01],[0.24],[0.05],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@atletvc @micaelofic @aguiarthur ment,'neutro',[0.09],[0.03],[0.7],[0.01],[0.15],[0.02],[0.0]
@dcshalifo @micaelofic @aguiarthur doi,'raiva',[0.29],[0.0],[0.09],[0.0],[0.62],[0.0],[0.0]
@redbeeti @micaelofic @aguiarthur deix fã rbr,'neutro',[0.1],[0.01],[0.76],[0.0],[0.12],[0.01],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@micaelofic @aguiarthur rbl pra sempreeee,'neutro',[0.17],[0.01],[0.58],[0.0],[0.23],[0.0],[0.0]
"camarot tá chegando! ⭐️ elenc fam #bbb22 entr log após comerc @tvglob dentr nomes, est…",'neutro',[0.0],[0.0],[1.0],[0.0],[0.0],[0.0],[0.0]
@atletvc @micaelofic @aguiarthur deu,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@atletvc @micaelofic @aguiarthur mic,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@micaelofic @aguiarthur lind,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@micaelofic @aguiarthur massa!!!!!!,'raiva',[0.01],[0.0],[0.49],[0.0],[0.51],[0.0],[0.0]
@aguiarthur cad voce??????,'neutro',[0.0],[0.0],[0.84],[0.0],[0.16],[0.0],[0.0]
@micaelofic @aguiarthur ❤️❤️❤️❤️❤️❤️❤️,'tristeza',[0.0],[0.0],[0.0],[0.1],[0.0],[0.9],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@aguiarthur adm seg 💔,'neutro',[0.23],[0.02],[0.65],[0.01],[0.06],[0.02],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
@hspaiva_ @aguiarthur jamal igual rei chifr,'neutro',[0.09],[0.03],[0.7],[0.01],[0.15],[0.02],[0.0]
@micaelofic @aguiarthur isso!!,'neutro',[0.03],[0.0],[0.53],[0.0],[0.44],[0.0],[0.0]
"tô sent desesper @mayracardi, vend @aguiarthur aparec log cas #bbb22",'neutro',[0.12],[0.0],[0.85],[0.0],[0.03],[0.0],[0.0]
"mulher segur onda, tio @aguiarthur tá cheg",'neutro',[0.06],[0.0],[0.5],[0.0],[0.44],[0.0],[0.0]
@micaelofic @aguiarthur vsfkkkkkkkkkkk,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@laragonncalv @micaelofic @aguiarthur bab,'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
rt @tuiteluc @micaelofic @aguiarthur coraçã rebeld sempr n aguent mic,'alegria',[0.57],[0.0],[0.15],[0.0],[0.27],[0.01],[0.0]
"rt @micaelofic pra deix clar fat est ansioso, vou torc pro @aguiarthur ! assim e…",'neutro',[0.0],[0.0],[0.98],[0.0],[0.02],[0.0],[0.0]
