Tweet,Emojis,SentimentML,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias
"RT @B16caio: Douglas Silva e Arthur Aguiar = Flamenguistas e imunes 

MONSTROS!!",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
que merda Arthur Aguiar imune,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @choquei: 🚨Arthur Aguiar e Douglas venceram a prova e ganharam imunidade #BBB22,{'🚨'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @smoakesby: eu particularmente não tenho nada contra o arthur aguiar, se a própria corna que é a corna não se incomoda com os chifres eu…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @bchartsnet: 🚨Arthur Aguiar e Douglas Silva VENCEM a prova do grupo camarote e estão IMUNES! #BBB22 https://t.co/UOGBlF0q2w,{'🚨'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @ifsmurilo: arthur aguiar entrou hoje e ja ta imune,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @chicobarney: Eu acho que o Arthur Aguiar no #BBB22 foi a aposta mais Record TV da história da Globo.,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @rrdsbj: O inimigo é ardiloso mas assim como Jesus Cristo, Arthur Aguiar vai resistir as tentações",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@SeriesBrasil @Aguiarthur @Silva_DG DOUGLAS LINDO MACETOU,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @smoakesby: eu particularmente não tenho nada contra o arthur aguiar, se a própria corna que é a corna não se incomoda com os chifres eu…",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
que ódio o arthur aguiar tá imune mas pelo menos o douglas tá imune,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @caioboxd: arthur aguiar treinadíssimo jogou 16 calcinhas pela janela do quarto,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @iagonmxsdzc: Acelora e Arthur Aguiar

o bebeto e romario dessa edição",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @caioboxd: arthur aguiar treinadíssimo jogou 16 calcinhas pela janela do quarto,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @lucasvivot: 10 minutos e o arthur aguiar não pegou ninguém.............. um novo homem?,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @choquei: 🚨Arthur Aguiar e Douglas venceram a prova e ganharam imunidade #BBB22,{'🚨'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
QUE BOSTA O FDP FO ARTHUR AGUIAR TÁ IMUNIZADO #BBB22,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
Arthur Aguiar pegou até a imunidade que é isso,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"que tristeza Arthur Aguiar ganhou imunidade e 10 mil, não merecia!",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
