Tweet,Emojis,SentimentML,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias
vamo arthur aguiar abre essa porta logo,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"O CAMPEÃO DO #Bbb22 vai entrar agr, pode entrar @Aguiarthur",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
cade a LINDA jade picon e o goat arthur aguiar,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
VEM ARTHUR AGUIAR VEMMM,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
ARTHUR AGUIAR TRAIA SUA MULHER NO 1 MINUTO,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@portalaguiarofc @Aguiarthur @Cattycoments @coment_bruninha @boydriiguete @vidagusetulio @meirybrayan @Bya11060843… https://t.co/vLF6nHd0iN,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"Quem vai entrar: Arthur Aguiar linn da quebrada e jade picon 

Perfil de fofoca : jade picon vai entrar",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
@Aguiarthur vai entrar hoje ❤️,{'❤️'},'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
plantão bbb arthur aguiar jade picon linn da quebrada reação entrada covid participantes pedro scooby tiago douglas… https://t.co/iQYrpSTq34,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"ATENÇÃO SILENCIO NA TIMELINE
jade picon, arthur aguiar e linn vão entrar agora #bbb22",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
RT @Aguiarthur: É AGORA!!!!!!!!!!!! #BBB22,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @Dantinhas: É AGORA! Jade Picon, Linn da Quebrada e Arthur Aguiar vão entrar na casa! Agora, ao vivo, na Globo! #BBB22",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"Lin da quebrada, Arthur Aguiar e Jade Picon estão entrando agora no #BBB22",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
"RT @Dantinhas: É AGORA! Jade Picon, Linn da Quebrada e Arthur Aguiar vão entrar na casa! Agora, ao vivo, na Globo! #BBB22",set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
CADE O ARTHUR AGUIAR,set(),'alegria',[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0]
